,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
152,"PHYSICS, APPLIED",13,30,83,17,0.4,2014
153,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",17,33,91,9,0.5,2014
154,"PHYSICS, CONDENSED MATTER",4,8,63,38,0.5,2014
155,"PHYSICS, FLUIDS & PLASMAS",7,5,100,0,1.4,2014
156,"PHYSICS, MATHEMATICAL",12,16,87,13,0.8,2014
157,"PHYSICS, MULTIDISCIPLINARY",11,21,85,15,0.5,2014
158,"PHYSICS, NUCLEAR",10,15,93,7,0.7,2014
159,"PHYSICS, PARTICLES & FIELDS",30,32,90,10,0.9,2014
160,PHYSIOLOGY,5,15,64,36,0.3,2014
161,PLANNING & DEVELOPMENT,2,3,33,67,0.7,2014
162,PLANT SCIENCES,73,122,69,31,0.6,2014
163,POLYMER SCIENCE,12,30,57,43,0.4,2014
164,PSYCHIATRY,7,12,58,42,0.6,2014
165,PSYCHOLOGY,25,53,57,43,0.5,2014
166,"PSYCHOLOGY, CLINICAL",8,24,42,58,0.3,2014
167,"PSYCHOLOGY, EDUCATIONAL",1,1,100,0,1.0,2014
168,"PSYCHOLOGY, EXPERIMENTAL",2,4,50,50,0.5,2014
169,"PSYCHOLOGY, MULTIDISCIPLINARY",16,30,70,30,0.5,2014
170,PUBLIC ADMINISTRATION,2,3,33,67,0.7,2014
171,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",11,23,59,41,0.5,2014
172,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1,1,100,0,1.0,2014
173,REHABILITATION,3,1,100,0,3.0,2014
174,RELIGION,2,5,80,20,0.4,2014
175,REMOTE SENSING,7,16,94,6,0.4,2014
176,REPRODUCTIVE BIOLOGY,7,18,72,28,0.4,2014
177,RESPIRATORY SYSTEM,2,5,80,20,0.4,2014
178,ROBOTICS,2,3,100,0,0.7,2014
179,"SOCIAL SCIENCES, BIOMEDICAL",2,3,67,33,0.7,2014
180,"SOCIAL SCIENCES, MATHEMATICAL METHODS",1,2,100,0,0.5,2014
181,SOCIOLOGY,2,2,50,50,1.0,2014
182,SOIL SCIENCE,2,3,67,33,0.7,2014
183,SPECTROSCOPY,2,4,50,50,0.5,2014
184,SPORT SCIENCES,2,4,75,25,0.5,2014
185,STATISTICS & PROBABILITY,6,7,86,14,0.9,2014
186,SURGERY,1,1,100,0,1.0,2014
187,TELECOMMUNICATIONS,3,6,83,17,0.5,2014
188,THERMODYNAMICS,8,10,70,30,0.8,2014
189,TOXICOLOGY,4,11,73,27,0.4,2014
190,TRANSPORTATION,4,7,100,0,0.6,2014
191,TRANSPORTATION SCIENCE & TECHNOLOGY,4,7,100,0,0.6,2014
192,TROPICAL MEDICINE,1,4,50,50,0.3,2014
193,URBAN STUDIES,4,11,73,27,0.4,2014
194,UROLOGY & NEPHROLOGY,2,4,50,50,0.5,2014
195,VETERINARY SCIENCES,25,59,68,32,0.4,2014
196,WATER RESOURCES,18,38,83,17,0.5,2014
197,ZOOLOGY,26,42,63,37,0.6,2014
0,ACOUSTICS,8,11,73,27,0.7,2015
1,AGRICULTURAL ECONOMICS & POLICY,7,12,75,25,0.6,2015
2,AGRICULTURAL ENGINEERING,5,19,58,42,0.3,2015
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3,7,100,0,0.4,2015
4,"AGRICULTURE, MULTIDISCIPLINARY",38,90,73,27,0.4,2015
5,AGRONOMY,33,81,73,28,0.4,2015
6,ANATOMY & MORPHOLOGY,16,20,58,42,0.8,2015
7,ANTHROPOLOGY,5,7,57,43,0.7,2015
8,ARCHAEOLOGY,4,5,60,40,0.8,2015
9,ARCHITECTURE,8,11,73,27,0.7,2015
10,AREA STUDIES,1,1,100,0,1.0,2015
11,ART,2,2,50,50,1.0,2015
12,ASTRONOMY & ASTROPHYSICS,158,95,84,16,1.7,2015
13,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3,3,100,0,1.0,2015
14,AUTOMATION & CONTROL SYSTEMS,23,31,94,6,0.7,2015
15,BEHAVIORAL SCIENCES,3,5,100,0,0.6,2015
16,BIOCHEMICAL RESEARCH METHODS,2,8,38,63,0.3,2015
17,BIOCHEMISTRY & MOLECULAR BIOLOGY,62,155,63,37,0.4,2015
18,BIODIVERSITY CONSERVATION,13,17,75,25,0.8,2015
19,BIOLOGY,8,11,64,36,0.7,2015
20,BIOPHYSICS,24,65,69,31,0.4,2015
21,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,23,61,77,23,0.4,2015
22,BUSINESS,10,17,88,12,0.6,2015
23,"BUSINESS, FINANCE",3,6,83,17,0.5,2015
24,CARDIAC & CARDIOVASCULAR SYSTEMS,3,2,100,0,1.5,2015
25,CELL BIOLOGY,22,55,65,35,0.4,2015
26,CHEMISTRY,116,233,64,36,0.5,2015
27,"CHEMISTRY, ANALYTICAL",13,41,63,38,0.3,2015
28,"CHEMISTRY, APPLIED",11,38,55,45,0.3,2015
29,"CHEMISTRY, INORGANIC & NUCLEAR",4,18,65,35,0.2,2015
30,"CHEMISTRY, MEDICINAL",5,10,90,10,0.5,2015
31,"CHEMISTRY, MULTIDISCIPLINARY",38,89,68,32,0.4,2015
32,"CHEMISTRY, ORGANIC",15,34,56,44,0.4,2015
33,"CHEMISTRY, PHYSICAL",40,68,75,25,0.6,2015
34,CLINICAL NEUROLOGY,6,16,31,69,0.4,2015
35,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",28,35,79,21,0.8,2015
36,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",5,10,100,0,0.5,2015
37,"COMPUTER SCIENCE, INFORMATION SYSTEMS",32,49,87,13,0.7,2015
38,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",24,50,88,12,0.5,2015
39,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",8,13,92,8,0.6,2015
40,"COMPUTER SCIENCE, THEORY & METHODS",34,52,87,13,0.7,2015
41,CONSTRUCTION & BUILDING TECHNOLOGY,10,12,80,20,0.8,2015
42,CRYSTALLOGRAPHY,1,6,67,33,0.2,2015
43,DEMOGRAPHY,1,1,0,100,1.0,2015
44,"DENTISTRY, ORAL SURGERY & MEDICINE",10,14,43,57,0.7,2015
45,DEVELOPMENTAL BIOLOGY,14,31,68,32,0.5,2015
46,ECOLOGY,63,96,72,28,0.7,2015
47,ECONOMICS,32,56,75,25,0.6,2015
48,EDUCATION & EDUCATIONAL RESEARCH,12,23,44,56,0.5,2015
49,"EDUCATION, SCIENTIFIC DISCIPLINES",2,4,100,0,0.5,2015
50,ELECTROCHEMISTRY,3,10,90,10,0.3,2015
51,ENDOCRINOLOGY & METABOLISM,7,24,52,48,0.3,2015
52,ENERGY & FUELS,41,64,78,22,0.6,2015
53,"ENGINEERING, AEROSPACE",1,3,100,0,0.3,2015
54,"ENGINEERING, BIOMEDICAL",5,11,73,27,0.5,2015
55,"ENGINEERING, CHEMICAL",27,55,80,20,0.5,2015
56,"ENGINEERING, CIVIL",16,22,85,15,0.7,2015
57,"ENGINEERING, ELECTRICAL & ELECTRONIC",105,90,95,5,1.2,2015
58,"ENGINEERING, ENVIRONMENTAL",16,40,66,34,0.4,2015
59,"ENGINEERING, GEOLOGICAL",7,12,83,17,0.6,2015
60,"ENGINEERING, INDUSTRIAL",20,23,81,19,0.9,2015
61,"ENGINEERING, MANUFACTURING",1,1,0,100,1.0,2015
62,"ENGINEERING, MECHANICAL",7,10,100,0,0.7,2015
63,"ENGINEERING, MULTIDISCIPLINARY",18,26,92,8,0.7,2015
64,ENTOMOLOGY,18,27,81,19,0.7,2015
65,ENVIRONMENTAL SCIENCES,70,166,66,34,0.4,2015
66,ENVIRONMENTAL STUDIES,14,27,81,19,0.5,2015
67,ETHICS,3,8,50,50,0.4,2015
68,ETHNIC STUDIES,1,1,0,100,1.0,2015
69,EVOLUTIONARY BIOLOGY,13,27,77,23,0.5,2015
70,FISHERIES,31,60,73,27,0.5,2015
71,FOOD SCIENCE & TECHNOLOGY,36,90,70,30,0.4,2015
72,FORESTRY,31,55,80,20,0.6,2015
73,GASTROENTEROLOGY & HEPATOLOGY,3,6,50,50,0.5,2015
74,GENETICS & HEREDITY,25,45,73,27,0.6,2015
75,GEOCHEMISTRY & GEOPHYSICS,10,18,67,33,0.6,2015
76,GEOGRAPHY,5,13,62,38,0.4,2015
77,"GEOGRAPHY, PHYSICAL",14,37,65,35,0.4,2015
78,GEOLOGY,41,70,67,33,0.6,2015
79,"GEOSCIENCES, MULTIDISCIPLINARY",36,70,67,33,0.5,2015
80,GERIATRICS & GERONTOLOGY,7,15,73,27,0.5,2015
81,HEALTH CARE SCIENCES & SERVICES,8,23,59,41,0.3,2015
82,HEALTH POLICY & SERVICES,7,20,53,47,0.4,2015
83,HEMATOLOGY,10,15,60,40,0.7,2015
84,HISTORY,6,8,75,25,0.8,2015
85,HISTORY & PHILOSOPHY OF SCIENCE,3,4,100,0,0.8,2015
86,HORTICULTURE,19,60,72,28,0.3,2015
87,"HOSPITALITY, LEISURE, SPORT & TOURISM",1,1,100,0,1.0,2015
88,"HUMANITIES, MULTIDISCIPLINARY",15,18,78,22,0.8,2015
89,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,6,10,90,10,0.6,2015
90,IMMUNOLOGY,15,24,83,17,0.6,2015
91,INFECTIOUS DISEASES,11,36,75,25,0.3,2015
92,INFORMATION SCIENCE & LIBRARY SCIENCE,2,5,80,20,0.4,2015
93,INSTRUMENTS & INSTRUMENTATION,13,25,96,4,0.5,2015
94,INTEGRATIVE & COMPLEMENTARY MEDICINE,7,28,39,61,0.3,2015
95,INTERNATIONAL RELATIONS,3,7,100,0,0.4,2015
96,LANGUAGE & LINGUISTICS,14,27,41,59,0.5,2015
97,LAW,9,9,75,25,1.0,2015
98,LIMNOLOGY,4,14,64,36,0.3,2015
99,LINGUISTICS,15,27,41,59,0.6,2015
100,LITERATURE,20,21,52,48,1.0,2015
101,"LITERATURE, ROMANCE",20,21,52,48,1.0,2015
102,LOGIC,1,2,50,50,0.5,2015
103,MANAGEMENT,6,10,80,20,0.6,2015
104,MARINE & FRESHWATER BIOLOGY,76,145,65,35,0.5,2015
105,"MATERIALS SCIENCE, BIOMATERIALS",1,1,100,0,1.0,2015
106,"MATERIALS SCIENCE, CERAMICS",1,1,100,0,1.0,2015
107,"MATERIALS SCIENCE, COATINGS & FILMS",1,1,100,0,1.0,2015
108,"MATERIALS SCIENCE, MULTIDISCIPLINARY",27,48,83,17,0.6,2015
109,"MATERIALS SCIENCE, PAPER & WOOD",20,51,69,31,0.4,2015
110,"MATERIALS SCIENCE, TEXTILES",1,1,100,0,1.0,2015
111,MATHEMATICAL & COMPUTATIONAL BIOLOGY,7,11,82,18,0.6,2015
112,MATHEMATICS,97,79,88,12,1.2,2015
113,"MATHEMATICS, APPLIED",58,50,90,10,1.2,2015
114,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",10,15,80,20,0.7,2015
115,MECHANICS,12,19,79,21,0.6,2015
116,MEDICAL ETHICS,3,8,50,50,0.4,2015
117,MEDICAL INFORMATICS,1,3,100,0,0.3,2015
118,MEDICAL LABORATORY TECHNOLOGY,2,4,75,25,0.5,2015
119,"MEDICINE, GENERAL & INTERNAL",40,113,56,44,0.4,2015
120,"MEDICINE, LEGAL",1,2,0,100,0.5,2015
121,"MEDICINE, RESEARCH & EXPERIMENTAL",11,23,70,30,0.5,2015
122,MEDIEVAL & RENAISSANCE STUDIES,1,1,100,0,1.0,2015
123,METALLURGY & METALLURGICAL ENGINEERING,9,9,67,33,1.0,2015
124,METEOROLOGY & ATMOSPHERIC SCIENCES,7,15,67,33,0.5,2015
125,MICROBIOLOGY,18,27,81,19,0.7,2015
126,MICROSCOPY,2,8,75,25,0.3,2015
127,MINERALOGY,10,18,72,28,0.6,2015
128,MINING & MINERAL PROCESSING,8,12,75,25,0.7,2015
129,MULTIDISCIPLINARY SCIENCES,36,73,61,39,0.5,2015
130,MUSIC,5,2,100,0,2.5,2015
131,MYCOLOGY,2,6,100,0,0.3,2015
132,NANOSCIENCE & NANOTECHNOLOGY,9,12,100,0,0.8,2015
133,NEUROSCIENCES,25,45,55,45,0.6,2015
134,NUCLEAR SCIENCE & TECHNOLOGY,3,3,100,0,1.0,2015
135,NURSING,5,8,25,75,0.6,2015
136,NUTRITION & DIETETICS,36,58,51,49,0.6,2015
137,OBSTETRICS & GYNECOLOGY,19,41,77,23,0.5,2015
138,OCEANOGRAPHY,46,98,64,36,0.5,2015
139,ONCOLOGY,12,25,72,28,0.5,2015
140,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,16,14,79,21,1.1,2015
141,OPTICS,26,47,87,13,0.6,2015
142,ORNITHOLOGY,1,1,100,0,1.0,2015
143,ORTHOPEDICS,2,2,50,50,1.0,2015
144,PALEONTOLOGY,3,7,57,43,0.4,2015
145,PARASITOLOGY,9,14,86,14,0.6,2015
146,PATHOLOGY,2,2,100,0,1.0,2015
147,PEDIATRICS,10,20,44,56,0.5,2015
148,PERIPHERAL VASCULAR DISEASE,5,12,58,42,0.4,2015
149,PHARMACOLOGY & PHARMACY,27,69,57,43,0.4,2015
150,PHILOSOPHY,6,5,100,0,1.2,2015
151,"PHYSICS, APPLIED",14,23,87,13,0.6,2015
152,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",18,38,87,13,0.5,2015
153,"PHYSICS, CONDENSED MATTER",4,5,100,0,0.8,2015
154,"PHYSICS, FLUIDS & PLASMAS",5,9,89,11,0.6,2015
155,"PHYSICS, MATHEMATICAL",16,18,83,17,0.9,2015
156,"PHYSICS, MULTIDISCIPLINARY",17,28,89,11,0.6,2015
157,"PHYSICS, NUCLEAR",10,12,67,33,0.8,2015
158,"PHYSICS, PARTICLES & FIELDS",40,34,82,18,1.2,2015
159,PHYSIOLOGY,10,22,67,33,0.5,2015
160,PLANT SCIENCES,65,136,63,37,0.5,2015
161,POLITICAL SCIENCE,1,1,100,0,1.0,2015
162,POLYMER SCIENCE,19,32,74,26,0.6,2015
163,PRIMARY HEALTH CARE,2,3,33,67,0.7,2015
164,PSYCHIATRY,8,16,67,33,0.5,2015
165,PSYCHOLOGY,39,70,55,45,0.6,2015
166,"PSYCHOLOGY, BIOLOGICAL",3,3,100,0,1.0,2015
167,"PSYCHOLOGY, CLINICAL",11,32,47,53,0.3,2015
168,"PSYCHOLOGY, DEVELOPMENTAL",2,2,100,0,1.0,2015
169,"PSYCHOLOGY, EDUCATIONAL",2,2,50,50,1.0,2015
170,"PSYCHOLOGY, EXPERIMENTAL",6,7,71,29,0.9,2015
171,"PSYCHOLOGY, MATHEMATICAL",1,1,100,0,1.0,2015
172,"PSYCHOLOGY, MULTIDISCIPLINARY",17,29,59,41,0.6,2015
173,"PSYCHOLOGY, SOCIAL",1,2,50,50,0.5,2015
174,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",24,46,61,39,0.5,2015
175,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3,6,83,17,0.5,2015
176,REHABILITATION,4,5,80,20,0.8,2015
177,REMOTE SENSING,6,8,100,0,0.8,2015
178,REPRODUCTIVE BIOLOGY,13,30,71,29,0.4,2015
179,RESPIRATORY SYSTEM,1,2,100,0,0.5,2015
180,RHEUMATOLOGY,3,4,75,25,0.8,2015
181,ROBOTICS,9,17,82,18,0.5,2015
182,SOCIAL ISSUES,1,1,0,100,1.0,2015
183,"SOCIAL SCIENCES, BIOMEDICAL",3,8,50,50,0.4,2015
184,"SOCIAL SCIENCES, INTERDISCIPLINARY",5,4,75,25,1.3,2015
185,"SOCIAL SCIENCES, MATHEMATICAL METHODS",1,1,100,0,1.0,2015
186,SOCIAL WORK,1,1,100,0,1.0,2015
187,SOCIOLOGY,1,1,100,0,1.0,2015
188,SOIL SCIENCE,6,12,73,27,0.5,2015
189,SPECTROSCOPY,3,7,71,29,0.4,2015
190,SPORT SCIENCES,7,10,80,20,0.7,2015
191,STATISTICS & PROBABILITY,9,12,92,8,0.8,2015
192,SUBSTANCE ABUSE,3,9,78,22,0.3,2015
193,SURGERY,1,1,100,0,1.0,2015
194,TELECOMMUNICATIONS,4,7,86,14,0.6,2015
195,THERMODYNAMICS,11,23,74,26,0.5,2015
196,TOXICOLOGY,4,13,62,38,0.3,2015
197,TRANSPORTATION,9,12,92,8,0.8,2015
198,TRANSPORTATION SCIENCE & TECHNOLOGY,9,12,92,8,0.8,2015
199,TROPICAL MEDICINE,2,3,67,33,0.7,2015
200,URBAN STUDIES,1,1,100,0,1.0,2015
201,UROLOGY & NEPHROLOGY,1,1,100,0,1.0,2015
202,VETERINARY SCIENCES,25,64,55,45,0.4,2015
203,WATER RESOURCES,25,44,77,23,0.6,2015
204,WOMEN'S STUDIES,1,1,0,100,1.0,2015
205,ZOOLOGY,39,68,66,34,0.6,2015
0,ACOUSTICS,6,10,80,20,0.6,2016
1,AGRICULTURAL ECONOMICS & POLICY,4,7,29,71,0.6,2016
2,AGRICULTURAL ENGINEERING,8,24,65,35,0.3,2016
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",4,3,100,0,1.3,2016
4,"AGRICULTURE, MULTIDISCIPLINARY",25,76,66,34,0.3,2016
5,AGRONOMY,40,104,67,33,0.4,2016
6,ALLERGY,1,1,0,100,1.0,2016
7,ANATOMY & MORPHOLOGY,15,18,72,28,0.8,2016
8,ANTHROPOLOGY,6,6,83,17,1.0,2016
9,ARCHITECTURE,13,21,62,38,0.6,2016
10,AREA STUDIES,3,2,50,50,1.5,2016
11,ART,2,5,60,40,0.4,2016
12,ASTRONOMY & ASTROPHYSICS,140,95,85,15,1.5,2016
13,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,1,1,100,0,1.0,2016
14,AUTOMATION & CONTROL SYSTEMS,20,24,100,0,0.8,2016
15,BEHAVIORAL SCIENCES,1,1,100,0,1.0,2016
16,BIOCHEMICAL RESEARCH METHODS,6,17,53,47,0.4,2016
17,BIOCHEMISTRY & MOLECULAR BIOLOGY,57,136,65,35,0.4,2016
18,BIODIVERSITY CONSERVATION,21,45,71,29,0.5,2016
19,BIOLOGY,9,12,67,33,0.8,2016
20,BIOPHYSICS,11,15,80,20,0.7,2016
21,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,25,63,57,43,0.4,2016
22,BUSINESS,5,6,80,20,0.8,2016
23,"BUSINESS, FINANCE",1,1,100,0,1.0,2016
24,CARDIAC & CARDIOVASCULAR SYSTEMS,5,13,69,31,0.4,2016
25,CELL & TISSUE ENGINEERING,1,4,50,50,0.3,2016
26,CELL BIOLOGY,27,70,59,41,0.4,2016
27,CHEMISTRY,178,273,67,33,0.7,2016
28,"CHEMISTRY, ANALYTICAL",12,33,70,30,0.4,2016
29,"CHEMISTRY, APPLIED",23,62,59,41,0.4,2016
30,"CHEMISTRY, INORGANIC & NUCLEAR",4,13,54,46,0.3,2016
31,"CHEMISTRY, MEDICINAL",14,27,69,31,0.5,2016
32,"CHEMISTRY, MULTIDISCIPLINARY",81,140,69,31,0.6,2016
33,"CHEMISTRY, ORGANIC",13,21,65,35,0.6,2016
34,"CHEMISTRY, PHYSICAL",57,78,78,22,0.7,2016
35,CLINICAL NEUROLOGY,8,10,22,78,0.8,2016
36,COMMUNICATION,1,1,100,0,1.0,2016
37,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14,20,90,10,0.7,2016
38,"COMPUTER SCIENCE, CYBERNETICS",2,2,100,0,1.0,2016
39,"COMPUTER SCIENCE, INFORMATION SYSTEMS",24,37,89,11,0.6,2016
40,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",27,55,93,7,0.5,2016
41,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",7,13,100,0,0.5,2016
42,"COMPUTER SCIENCE, THEORY & METHODS",21,31,87,13,0.7,2016
43,CONSTRUCTION & BUILDING TECHNOLOGY,24,24,87,13,1.0,2016
44,CRITICAL CARE MEDICINE,2,6,100,0,0.3,2016
45,CRYSTALLOGRAPHY,4,16,69,31,0.3,2016
46,"DENTISTRY, ORAL SURGERY & MEDICINE",7,20,60,40,0.4,2016
47,DERMATOLOGY,4,5,40,60,0.8,2016
48,DEVELOPMENTAL BIOLOGY,4,25,48,52,0.2,2016
49,ECOLOGY,66,114,66,34,0.6,2016
50,ECONOMICS,19,25,71,29,0.8,2016
51,EDUCATION & EDUCATIONAL RESEARCH,15,25,52,48,0.6,2016
52,"EDUCATION, SCIENTIFIC DISCIPLINES",7,13,44,56,0.5,2016
53,"EDUCATION, SPECIAL",1,1,100,0,1.0,2016
54,ELECTROCHEMISTRY,2,9,89,11,0.2,2016
55,EMERGENCY MEDICINE,1,1,100,0,1.0,2016
56,ENDOCRINOLOGY & METABOLISM,16,21,53,47,0.8,2016
57,ENERGY & FUELS,27,54,74,26,0.5,2016
58,"ENGINEERING, BIOMEDICAL",9,12,75,25,0.8,2016
59,"ENGINEERING, CHEMICAL",38,92,74,26,0.4,2016
60,"ENGINEERING, CIVIL",31,48,76,24,0.6,2016
61,"ENGINEERING, ELECTRICAL & ELECTRONIC",115,122,91,9,0.9,2016
62,"ENGINEERING, ENVIRONMENTAL",18,40,73,28,0.5,2016
63,"ENGINEERING, GEOLOGICAL",7,10,88,13,0.7,2016
64,"ENGINEERING, INDUSTRIAL",18,34,94,6,0.5,2016
65,"ENGINEERING, MANUFACTURING",1,1,100,0,1.0,2016
66,"ENGINEERING, MECHANICAL",6,17,71,29,0.4,2016
67,"ENGINEERING, MULTIDISCIPLINARY",14,25,88,12,0.6,2016
68,ENTOMOLOGY,22,35,74,26,0.6,2016
69,ENVIRONMENTAL SCIENCES,87,155,67,33,0.6,2016
70,ENVIRONMENTAL STUDIES,14,28,85,15,0.5,2016
71,ERGONOMICS,1,1,100,0,1.0,2016
72,ETHICS,4,7,71,29,0.6,2016
73,EVOLUTIONARY BIOLOGY,15,31,73,27,0.5,2016
74,FISHERIES,43,68,63,37,0.6,2016
75,FOOD SCIENCE & TECHNOLOGY,44,110,59,41,0.4,2016
76,FORESTRY,34,77,70,30,0.4,2016
77,GASTROENTEROLOGY & HEPATOLOGY,2,12,58,42,0.2,2016
78,GENETICS & HEREDITY,19,45,59,41,0.4,2016
79,GEOCHEMISTRY & GEOPHYSICS,13,22,59,41,0.6,2016
80,GEOGRAPHY,9,16,63,38,0.6,2016
81,"GEOGRAPHY, PHYSICAL",15,25,75,25,0.6,2016
82,GEOLOGY,36,68,71,29,0.5,2016
83,"GEOSCIENCES, MULTIDISCIPLINARY",29,59,69,31,0.5,2016
84,GERIATRICS & GERONTOLOGY,10,24,46,54,0.4,2016
85,GERONTOLOGY,1,2,50,50,0.5,2016
86,HEALTH CARE SCIENCES & SERVICES,4,6,50,50,0.7,2016
87,HEALTH POLICY & SERVICES,1,1,100,0,1.0,2016
88,HEMATOLOGY,4,8,63,38,0.5,2016
89,HISTORY,3,5,80,20,0.6,2016
90,HORTICULTURE,18,39,74,26,0.5,2016
91,"HUMANITIES, MULTIDISCIPLINARY",12,19,53,47,0.6,2016
92,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,2,3,100,0,0.7,2016
93,IMMUNOLOGY,19,44,66,34,0.4,2016
94,INFECTIOUS DISEASES,14,46,51,49,0.3,2016
95,INFORMATION SCIENCE & LIBRARY SCIENCE,1,1,0,100,1.0,2016
96,INSTRUMENTS & INSTRUMENTATION,19,32,97,3,0.6,2016
97,INTEGRATIVE & COMPLEMENTARY MEDICINE,7,13,75,25,0.5,2016
98,LANGUAGE & LINGUISTICS,14,14,57,43,1.0,2016
99,LAW,7,7,71,29,1.0,2016
100,LIMNOLOGY,5,14,57,43,0.4,2016
101,LINGUISTICS,14,14,57,43,1.0,2016
102,LITERATURE,8,9,56,44,0.9,2016
103,"LITERATURE, ROMANCE",6,7,43,57,0.9,2016
104,MANAGEMENT,9,8,100,0,1.1,2016
105,MARINE & FRESHWATER BIOLOGY,82,137,64,36,0.6,2016
106,"MATERIALS SCIENCE, BIOMATERIALS",4,14,50,50,0.3,2016
107,"MATERIALS SCIENCE, CERAMICS",5,7,100,0,0.7,2016
108,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2,5,100,0,0.4,2016
109,"MATERIALS SCIENCE, COATINGS & FILMS",1,3,100,0,0.3,2016
110,"MATERIALS SCIENCE, COMPOSITES",3,7,100,0,0.4,2016
111,"MATERIALS SCIENCE, MULTIDISCIPLINARY",34,43,71,29,0.8,2016
112,"MATERIALS SCIENCE, PAPER & WOOD",13,33,66,34,0.4,2016
113,"MATERIALS SCIENCE, TEXTILES",2,2,50,50,1.0,2016
114,MATHEMATICAL & COMPUTATIONAL BIOLOGY,5,9,78,22,0.6,2016
115,MATHEMATICS,98,99,84,16,1.0,2016
116,"MATHEMATICS, APPLIED",62,65,85,15,1.0,2016
117,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4,6,83,17,0.7,2016
118,MECHANICS,10,17,76,24,0.6,2016
119,MEDICAL ETHICS,4,7,71,29,0.6,2016
120,MEDICAL INFORMATICS,1,2,50,50,0.5,2016
121,"MEDICINE, GENERAL & INTERNAL",30,72,51,49,0.4,2016
122,"MEDICINE, RESEARCH & EXPERIMENTAL",11,33,72,28,0.3,2016
123,METALLURGY & METALLURGICAL ENGINEERING,9,11,73,27,0.8,2016
124,METEOROLOGY & ATMOSPHERIC SCIENCES,15,33,81,19,0.5,2016
125,MICROBIOLOGY,31,64,75,25,0.5,2016
126,MICROSCOPY,1,7,57,43,0.1,2016
127,MINERALOGY,4,4,75,25,1.0,2016
128,MINING & MINERAL PROCESSING,7,11,64,36,0.6,2016
129,MULTIDISCIPLINARY SCIENCES,44,83,70,30,0.5,2016
130,MYCOLOGY,2,4,100,0,0.5,2016
131,NANOSCIENCE & NANOTECHNOLOGY,7,6,83,17,1.2,2016
132,NEUROSCIENCES,25,47,59,41,0.5,2016
133,NURSING,4,4,0,100,1.0,2016
134,NUTRITION & DIETETICS,23,46,56,44,0.5,2016
135,OBSTETRICS & GYNECOLOGY,14,45,60,40,0.3,2016
136,OCEANOGRAPHY,46,98,65,35,0.5,2016
137,ONCOLOGY,14,46,56,44,0.3,2016
138,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,11,16,88,13,0.7,2016
139,OPTICS,12,31,84,16,0.4,2016
140,ORNITHOLOGY,1,1,100,0,1.0,2016
141,ORTHOPEDICS,1,1,0,0,1.0,2016
142,PALEONTOLOGY,2,2,100,0,1.0,2016
143,PARASITOLOGY,6,12,75,25,0.5,2016
144,PEDIATRICS,16,38,53,47,0.4,2016
145,PERIPHERAL VASCULAR DISEASE,7,4,75,25,1.8,2016
146,PHARMACOLOGY & PHARMACY,46,94,61,39,0.5,2016
147,PHILOSOPHY,10,6,100,0,1.7,2016
148,"PHYSICS, APPLIED",14,18,82,18,0.8,2016
149,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",21,39,85,15,0.5,2016
150,"PHYSICS, CONDENSED MATTER",8,10,100,0,0.8,2016
151,"PHYSICS, FLUIDS & PLASMAS",4,4,100,0,1.0,2016
152,"PHYSICS, MATHEMATICAL",12,20,90,10,0.6,2016
153,"PHYSICS, MULTIDISCIPLINARY",33,49,92,8,0.7,2016
154,"PHYSICS, NUCLEAR",7,12,92,8,0.6,2016
155,"PHYSICS, PARTICLES & FIELDS",29,36,89,11,0.8,2016
156,PHYSIOLOGY,19,54,55,45,0.4,2016
157,PLANNING & DEVELOPMENT,4,6,67,33,0.7,2016
158,PLANT SCIENCES,95,181,66,34,0.5,2016
159,POLITICAL SCIENCE,5,5,60,40,1.0,2016
